OrderLineID,OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,Discount,LineTotal
OL-00048,ORD-10018,CUST-0002,PROD-026,2024-04-07,1,54.35,0,54.35
OL-00049,ORD-10018,CUST-0002,PROD-003,2024-04-07,4,722.82,0,2891.28
OL-00050,ORD-10018,CUST-0002,PROD-032,2024-04-07,4,129.73,0,518.92
OL-00051,ORD-10019,CUST-0002,PROD-025,2025-05-09,1,25.5,0,25.5
OL-00052,ORD-10019,CUST-0002,PROD-017,2025-05-09,5,242.78,0,1213.9
OL-00053,ORD-10019,CUST-0002,PROD-006,2025-05-09,3,689.21,0,2067.63
OL-00054,ORD-10020,CUST-0002,PROD-006,2024-05-27,4,689.21,0.15,2343.31
OL-00055,ORD-10020,CUST-0002,PROD-010,2024-05-27,2,121.48,0,242.96
OL-00056,ORD-10020,CUST-0002,PROD-020,2024-05-27,5,37.73,0,188.65
OL-00057,ORD-10021,CUST-0002,PROD-004,2024-05-26,3,921.23,0.05,2625.51
OL-00058,ORD-10022,CUST-0002,PROD-010,2024-04-14,3,121.48,0.05,346.22
OL-00059,ORD-10022,CUST-0002,PROD-027,2024-04-14,1,52.67,0,52.67
OL-00060,ORD-10022,CUST-0002,PROD-021,2024-04-14,2,38.34,0,76.68
OL-00061,ORD-10023,CUST-0002,PROD-032,2025-03-15,5,129.73,0.05,616.22
OL-00062,ORD-10023,CUST-0002,PROD-033,2025-03-15,1,70.03,0,70.03
OL-00063,ORD-10024,CUST-0002,PROD-030,2024-03-26,1,33.74,0.05,32.05
OL-00064,ORD-10024,CUST-0002,PROD-036,2024-03-26,1,97.89,0.05,93
OL-00065,ORD-10024,CUST-0002,PROD-027,2024-03-26,2,52.67,0,105.34
OL-00066,ORD-10025,CUST-0002,PROD-016,2024-07-10,5,189.62,0.15,805.88
OL-00067,ORD-10026,CUST-0002,PROD-020,2025-04-01,4,37.73,0.05,143.37
OL-00068,ORD-10026,CUST-0002,PROD-037,2025-04-01,1,23.39,0.2,18.71
OL-00069,ORD-10027,CUST-0002,PROD-010,2025-01-14,5,121.48,0,607.4
OL-00070,ORD-10027,CUST-0002,PROD-024,2025-01-14,2,38.87,0.1,69.97
OL-00071,ORD-10028,CUST-0003,PROD-036,2025-09-27,4,97.89,0.2,313.25
OL-00072,ORD-10028,CUST-0003,PROD-029,2025-09-27,5,32.8,0,164
OL-00073,ORD-10028,CUST-0003,PROD-003,2025-09-27,2,722.82,0,1445.64
OL-00074,ORD-10028,CUST-0003,PROD-001,2025-09-27,1,1226.38,0.05,1165.06
OL-00075,ORD-10029,CUST-0004,PROD-025,2024-11-19,5,25.5,0.2,102
OL-00076,ORD-10029,CUST-0004,PROD-023,2024-11-19,5,88.43,0,442.15
OL-00077,ORD-10029,CUST-0004,PROD-014,2024-11-19,1,487.6,0,487.6
OL-00078,ORD-10030,CUST-0004,PROD-020,2025-12-17,1,37.73,0.05,35.84
OL-00079,ORD-10031,CUST-0004,PROD-009,2025-11-26,5,89.78,0,448.9
OL-00080,ORD-10032,CUST-0005,PROD-033,2024-07-06,3,70.03,0.15,178.58
OL-00081,ORD-10032,CUST-0005,PROD-021,2024-07-06,3,38.34,0.2,92.02
OL-00082,ORD-10033,CUST-0006,PROD-018,2025-02-17,2,9.52,0.05,18.09
OL-00083,ORD-10033,CUST-0006,PROD-016,2025-02-17,5,189.62,0,948.1
OL-00084,ORD-10033,CUST-0006,PROD-021,2025-02-17,1,38.34,0.15,32.59
OL-00085,ORD-10033,CUST-0006,PROD-022,2025-02-17,2,27.82,0.15,47.29
OL-00086,ORD-10034,CUST-0007,PROD-031,2025-09-01,1,164.42,0,164.42
OL-00087,ORD-10035,CUST-0008,PROD-027,2025-11-18,4,52.67,0.2,168.54
OL-00088,ORD-10035,CUST-0008,PROD-036,2025-11-18,4,97.89,0.1,352.4
OL-00089,ORD-10036,CUST-0009,PROD-035,2024-04-07,1,75.75,0.2,60.6
OL-00090,ORD-10037,CUST-0009,PROD-008,2025-06-13,1,342.59,0,342.59
OL-00091,ORD-10037,CUST-0009,PROD-023,2025-06-13,4,88.43,0,353.72
OL-00092,ORD-10037,CUST-0009,PROD-025,2025-06-13,2,25.5,0.05,48.45
OL-00093,ORD-10037,CUST-0009,PROD-012,2025-06-13,1,109.67,0,109.67
OL-00094,ORD-10038,CUST-0009,PROD-018,2025-05-07,3,9.52,0,28.56
OL-00095,ORD-10039,CUST-0009,PROD-015,2024-06-07,1,295.3,0,295.3
OL-00096,ORD-10039,CUST-0009,PROD-032,2024-06-07,4,129.73,0.15,441.08
OL-00097,ORD-10039,CUST-0009,PROD-024,2024-06-07,5,38.87,0,194.35
OL-00098,ORD-10040,CUST-0009,PROD-026,2024-04-25,3,54.35,0.1,146.75
OL-00099,ORD-10040,CUST-0009,PROD-008,2024-04-25,5,342.59,0.05,1627.3
OL-00100,ORD-10041,CUST-0009,PROD-037,2024-07-18,1,23.39,0.1,21.05
OL-00101,ORD-10041,CUST-0009,PROD-012,2024-07-18,2,109.67,0.15,186.44
OL-00102,ORD-10042,CUST-0009,PROD-017,2024-05-25,2,242.78,0.1,437
OL-00103,ORD-10042,CUST-0009,PROD-037,2024-05-25,3,23.39,0,70.17
OL-00104,ORD-10043,CUST-0010,PROD-035,2025-03-20,5,75.75,0,378.75
OL-00105,ORD-10044,CUST-0011,PROD-001,2025-02-03,4,1226.38,0.2,3924.42
OL-00106,ORD-10044,CUST-0011,PROD-028,2025-02-03,4,65.64,0,262.56
OL-00107,ORD-10044,CUST-0011,PROD-004,2025-02-03,1,921.23,0.15,783.05
OL-00108,ORD-10044,CUST-0011,PROD-021,2025-02-03,5,38.34,0.05,182.12
OL-00109,ORD-10045,CUST-0012,PROD-034,2024-07-26,1,79.8,0,79.8
OL-00110,ORD-10045,CUST-0012,PROD-003,2024-07-26,4,722.82,0.1,2602.15
OL-00111,ORD-10045,CUST-0012,PROD-015,2024-07-26,4,295.3,0,1181.2
OL-00112,ORD-10046,CUST-0012,PROD-013,2024-08-12,1,134.4,0.15,114.24
OL-00113,ORD-10046,CUST-0012,PROD-022,2024-08-12,2,27.82,0.15,47.29
OL-00114,ORD-10046,CUST-0012,PROD-006,2024-08-12,4,689.21,0,2756.84
OL-00115,ORD-10046,CUST-0012,PROD-037,2024-08-12,2,23.39,0,46.78
OL-00116,ORD-10047,CUST-0012,PROD-020,2024-11-02,1,37.73,0.05,35.84
OL-00117,ORD-10047,CUST-0012,PROD-005,2024-11-02,4,843.32,0.2,2698.62
OL-00118,ORD-10047,CUST-0012,PROD-007,2024-11-02,1,511.33,0.1,460.2
OL-00119,ORD-10048,CUST-0012,PROD-017,2025-09-22,4,242.78,0,971.12
OL-00120,ORD-10048,CUST-0012,PROD-016,2025-09-22,3,189.62,0.2,455.09
OL-00121,ORD-10048,CUST-0012,PROD-007,2025-09-22,1,511.33,0.2,409.06
OL-00122,ORD-10049,CUST-0012,PROD-005,2025-01-27,1,843.32,0.15,716.82
OL-00123,ORD-10049,CUST-0012,PROD-029,2025-01-27,4,32.8,0.1,118.08
OL-00124,ORD-10050,CUST-0012,PROD-004,2024-10-12,1,921.23,0.05,875.17
OL-00125,ORD-10051,CUST-0012,PROD-009,2025-01-17,1,89.78,0.2,71.82
OL-00126,ORD-10052,CUST-0012,PROD-020,2025-03-24,5,37.73,0.15,160.35
OL-00127,ORD-10053,CUST-0012,PROD-007,2025-03-19,1,511.33,0.1,460.2
OL-00128,ORD-10054,CUST-0012,PROD-025,2024-09-05,5,25.5,0.2,102
OL-00129,ORD-10054,CUST-0012,PROD-026,2024-09-05,4,54.35,0,217.4
OL-00130,ORD-10054,CUST-0012,PROD-007,2024-09-05,5,511.33,0.2,2045.32
OL-00131,ORD-10055,CUST-0012,PROD-030,2025-07-13,4,33.74,0.05,128.21
OL-00132,ORD-10056,CUST-0012,PROD-007,2025-09-21,5,511.33,0,2556.65
OL-00133,ORD-10056,CUST-0012,PROD-022,2025-09-21,5,27.82,0,139.1
OL-00134,ORD-10056,CUST-0012,PROD-002,2025-09-21,1,505.32,0,505.32
OL-00135,ORD-10056,CUST-0012,PROD-030,2025-09-21,1,33.74,0.1,30.37
OL-00136,ORD-10057,CUST-0012,PROD-013,2025-08-10,5,134.4,0,672
OL-00137,ORD-10058,CUST-0012,PROD-023,2025-07-02,5,88.43,0.05,420.04
OL-00138,ORD-10058,CUST-0012,PROD-027,2025-07-02,2,52.67,0,105.34
OL-00139,ORD-10058,CUST-0012,PROD-031,2025-07-02,2,164.42,0.2,263.07
OL-00140,ORD-10059,CUST-0012,PROD-009,2024-09-01,3,89.78,0.1,242.41
OL-00141,ORD-10060,CUST-0012,PROD-020,2025-03-21,2,37.73,0.05,71.69
OL-00142,ORD-10060,CUST-0012,PROD-035,2025-03-21,3,75.75,0.1,204.53
OL-00143,ORD-10060,CUST-0012,PROD-010,2025-03-21,3,121.48,0,364.44
OL-00144,ORD-10061,CUST-0012,PROD-034,2025-02-14,5,79.8,0.15,339.15
OL-00145,ORD-10062,CUST-0012,PROD-004,2025-07-23,5,921.23,0.2,3684.92
OL-00146,ORD-10062,CUST-0012,PROD-016,2025-07-23,5,189.62,0.2,758.48
OL-00147,ORD-10063,CUST-0012,PROD-023,2024-09-06,2,88.43,0.15,150.33
OL-00148,ORD-10063,CUST-0012,PROD-013,2024-09-06,4,134.4,0.15,456.96
OL-00149,ORD-10063,CUST-0012,PROD-005,2024-09-06,4,843.32,0.1,3035.95
OL-00150,ORD-10063,CUST-0012,PROD-022,2024-09-06,3,27.82,0.2,66.77
OL-00151,ORD-10064,CUST-0012,PROD-020,2025-06-02,2,37.73,0,75.46
OL-00152,ORD-10064,CUST-0012,PROD-027,2025-06-02,4,52.67,0.2,168.54
OL-00153,ORD-10064,CUST-0012,PROD-022,2025-06-02,1,27.82,0.05,26.43
OL-00154,ORD-10065,CUST-0012,PROD-015,2024-11-30,2,295.3,0.05,561.07
OL-00155,ORD-10066,CUST-0012,PROD-016,2025-06-25,3,189.62,0.2,455.09
OL-00156,ORD-10066,CUST-0012,PROD-031,2025-06-25,4,164.42,0,657.68
OL-00157,ORD-10067,CUST-0012,PROD-001,2025-03-02,1,1226.38,0,1226.38
OL-00158,ORD-10067,CUST-0012,PROD-024,2025-03-02,3,38.87,0,116.61
OL-00159,ORD-10068,CUST-0012,PROD-010,2025-05-21,3,121.48,0.05,346.22
OL-00160,ORD-10069,CUST-0012,PROD-003,2024-11-17,2,722.82,0,1445.64
OL-00161,ORD-10069,CUST-0012,PROD-002,2024-11-17,2,505.32,0,1010.64
OL-00162,ORD-10069,CUST-0012,PROD-013,2024-11-17,3,134.4,0.15,342.72
OL-00163,ORD-10070,CUST-0012,PROD-036,2024-11-07,2,97.89,0,195.78
OL-00164,ORD-10070,CUST-0012,PROD-016,2024-11-07,2,189.62,0.2,303.39
OL-00165,ORD-10070,CUST-0012,PROD-012,2024-11-07,3,109.67,0,329.01
OL-00166,ORD-10071,CUST-0012,PROD-025,2024-08-20,3,25.5,0,76.5
OL-00167,ORD-10071,CUST-0012,PROD-008,2024-08-20,3,342.59,0.05,976.38
OL-00168,ORD-10072,CUST-0012,PROD-024,2024-12-10,5,38.87,0.05,184.63
OL-00169,ORD-10072,CUST-0012,PROD-011,2024-12-10,1,103.76,0,103.76
OL-00170,ORD-10072,CUST-0012,PROD-034,2024-12-10,2,79.8,0,159.6
OL-00171,ORD-10073,CUST-0013,PROD-013,2025-12-07,4,134.4,0.15,456.96
OL-00172,ORD-10073,CUST-0013,PROD-035,2025-12-07,3,75.75,0,227.25
OL-00173,ORD-10074,CUST-0014,PROD-003,2024-03-26,5,722.82,0,3614.1
OL-00174,ORD-10074,CUST-0014,PROD-013,2024-03-26,2,134.4,0,268.8
OL-00175,ORD-10075,CUST-0015,PROD-018,2024-03-24,2,9.52,0.2,15.23
OL-00176,ORD-10076,CUST-0016,PROD-014,2025-06-28,2,487.6,0.1,877.68
OL-00177,ORD-10076,CUST-0016,PROD-006,2025-06-28,4,689.21,0.2,2205.47
OL-00178,ORD-10076,CUST-0016,PROD-031,2025-06-28,5,164.42,0,822.1
OL-00179,ORD-10076,CUST-0016,PROD-005,2025-06-28,4,843.32,0.1,3035.95
OL-00180,ORD-10077,CUST-0017,PROD-021,2025-08-27,5,38.34,0.15,162.95
OL-00181,ORD-10077,CUST-0017,PROD-024,2025-08-27,4,38.87,0.15,132.16
OL-00182,ORD-10078,CUST-0018,PROD-026,2025-09-20,2,54.35,0,108.7
OL-00183,ORD-10078,CUST-0018,PROD-003,2025-09-20,4,722.82,0.2,2313.02
OL-00184,ORD-10078,CUST-0018,PROD-014,2025-09-20,2,487.6,0.05,926.44
OL-00185,ORD-10079,CUST-0019,PROD-025,2024-04-23,3,25.5,0.1,68.85
OL-00186,ORD-10079,CUST-0019,PROD-037,2024-04-23,1,23.39,0,23.39
OL-00187,ORD-10079,CUST-0019,PROD-011,2024-04-23,1,103.76,0,103.76
OL-00188,ORD-10079,CUST-0019,PROD-024,2024-04-23,4,38.87,0.1,139.93
OL-00189,ORD-10080,CUST-0019,PROD-003,2024-11-04,5,722.82,0.1,3252.69
OL-00190,ORD-10080,CUST-0019,PROD-030,2024-11-04,3,33.74,0.05,96.16
OL-00191,ORD-10081,CUST-0019,PROD-028,2024-12-24,3,65.64,0,196.92
OL-00192,ORD-10081,CUST-0019,PROD-027,2024-12-24,4,52.67,0,210.68
OL-00193,ORD-10081,CUST-0019,PROD-024,2024-12-24,2,38.87,0.05,73.85
OL-00194,ORD-10081,CUST-0019,PROD-032,2024-12-24,2,129.73,0,259.46
OL-00195,ORD-10082,CUST-0019,PROD-023,2025-04-03,1,88.43,0,88.43
OL-00196,ORD-10083,CUST-0020,PROD-018,2025-05-01,2,9.52,0,19.04
OL-00197,ORD-10084,CUST-0020,PROD-024,2025-07-15,1,38.87,0.1,34.98
OL-00198,ORD-10085,CUST-0021,PROD-013,2025-05-07,3,134.4,0.15,342.72
OL-00199,ORD-10085,CUST-0021,PROD-022,2025-05-07,3,27.82,0,83.46
OL-00200,ORD-10085,CUST-0021,PROD-017,2025-05-07,5,242.78,0,1213.9
OL-00201,ORD-10086,CUST-0022,PROD-001,2024-06-15,3,1226.38,0.2,2943.31
OL-00202,ORD-10086,CUST-0022,PROD-020,2024-06-15,4,37.73,0.05,143.37
OL-00203,ORD-10086,CUST-0022,PROD-019,2024-06-15,5,21.71,0.2,86.84
OL-00204,ORD-10087,CUST-0023,PROD-031,2025-05-02,5,164.42,0.2,657.68
OL-00205,ORD-10088,CUST-0023,PROD-015,2025-08-01,5,295.3,0.2,1181.2
OL-00206,ORD-10088,CUST-0023,PROD-014,2025-08-01,5,487.6,0.2,1950.4
OL-00207,ORD-10088,CUST-0023,PROD-031,2025-08-01,4,164.42,0.15,559.03
OL-00208,ORD-10088,CUST-0023,PROD-034,2025-08-01,4,79.8,0,319.2
OL-00209,ORD-10089,CUST-0024,PROD-021,2024-08-21,2,38.34,0.05,72.85
OL-00210,ORD-10090,CUST-0024,PROD-014,2025-10-04,3,487.6,0,1462.8
OL-00211,ORD-10090,CUST-0024,PROD-029,2025-10-04,5,32.8,0.2,131.2
OL-00212,ORD-10090,CUST-0024,PROD-036,2025-10-04,2,97.89,0,195.78
OL-00213,ORD-10090,CUST-0024,PROD-002,2025-10-04,1,505.32,0.05,480.05
OL-00214,ORD-10091,CUST-0024,PROD-022,2025-10-24,4,27.82,0.15,94.59
OL-00215,ORD-10091,CUST-0024,PROD-015,2025-10-24,4,295.3,0.2,944.96
OL-00216,ORD-10091,CUST-0024,PROD-027,2025-10-24,5,52.67,0,263.35
OL-00217,ORD-10092,CUST-0025,PROD-037,2025-06-24,1,23.39,0,23.39
OL-00218,ORD-10093,CUST-0025,PROD-037,2025-09-25,2,23.39,0.05,44.44
OL-00219,ORD-10093,CUST-0025,PROD-026,2025-09-25,1,54.35,0.1,48.91
OL-00220,ORD-10093,CUST-0025,PROD-025,2025-09-25,4,25.5,0,102
OL-00221,ORD-10094,CUST-0026,PROD-037,2025-07-13,1,23.39,0,23.39
OL-00222,ORD-10094,CUST-0026,PROD-029,2025-07-13,1,32.8,0.15,27.88
OL-00223,ORD-10094,CUST-0026,PROD-020,2025-07-13,5,37.73,0,188.65
OL-00224,ORD-10095,CUST-0026,PROD-002,2025-08-13,4,505.32,0,2021.28
OL-00225,ORD-10095,CUST-0026,PROD-012,2025-08-13,2,109.67,0,219.34
OL-00226,ORD-10095,CUST-0026,PROD-013,2025-08-13,3,134.4,0.15,342.72
OL-00227,ORD-10095,CUST-0026,PROD-005,2025-08-13,5,843.32,0,4216.6
OL-00228,ORD-10096,CUST-0027,PROD-034,2024-04-28,3,79.8,0.2,191.52
OL-00229,ORD-10096,CUST-0027,PROD-001,2024-04-28,4,1226.38,0.05,4660.24
OL-00230,ORD-10096,CUST-0027,PROD-011,2024-04-28,2,103.76,0,207.52
OL-00231,ORD-10097,CUST-0028,PROD-031,2025-08-12,2,164.42,0.2,263.07
OL-00232,ORD-10097,CUST-0028,PROD-005,2025-08-12,2,843.32,0,1686.64
OL-00233,ORD-10097,CUST-0028,PROD-025,2025-08-12,4,25.5,0.2,81.6
OL-00234,ORD-10097,CUST-0028,PROD-014,2025-08-12,4,487.6,0,1950.4
OL-00235,ORD-10098,CUST-0029,PROD-013,2025-08-05,3,134.4,0,403.2
OL-00236,ORD-10098,CUST-0029,PROD-033,2025-08-05,1,70.03,0,70.03
OL-00237,ORD-10098,CUST-0029,PROD-030,2025-08-05,4,33.74,0,134.96
OL-00238,ORD-10099,CUST-0030,PROD-034,2024-07-14,5,79.8,0.05,379.05
OL-00239,ORD-10099,CUST-0030,PROD-022,2024-07-14,4,27.82,0.05,105.72
OL-00240,ORD-10100,CUST-0031,PROD-006,2024-09-10,3,689.21,0.15,1757.49
OL-00241,ORD-10101,CUST-0031,PROD-023,2025-12-20,4,88.43,0,353.72
OL-00242,ORD-10101,CUST-0031,PROD-020,2025-12-20,2,37.73,0.1,67.91
OL-00243,ORD-10101,CUST-0031,PROD-026,2025-12-20,4,54.35,0.05,206.53
OL-00244,ORD-10101,CUST-0031,PROD-012,2025-12-20,4,109.67,0.15,372.88
OL-00245,ORD-10102,CUST-0031,PROD-026,2024-12-27,1,54.35,0,54.35
OL-00246,ORD-10103,CUST-0031,PROD-018,2025-12-22,3,9.52,0.15,24.28
OL-00247,ORD-10103,CUST-0031,PROD-035,2025-12-22,1,75.75,0.15,64.39
OL-00248,ORD-10104,CUST-0031,PROD-032,2025-10-01,5,129.73,0,648.65
OL-00249,ORD-10104,CUST-0031,PROD-027,2025-10-01,3,52.67,0,158.01
OL-00250,ORD-10105,CUST-0031,PROD-033,2025-10-16,3,70.03,0.05,199.59
OL-00251,ORD-10106,CUST-0031,PROD-017,2025-05-13,5,242.78,0,1213.9
OL-00252,ORD-10106,CUST-0031,PROD-014,2025-05-13,4,487.6,0,1950.4
OL-00253,ORD-10107,CUST-0032,PROD-025,2025-11-23,4,25.5,0,102
OL-00254,ORD-10107,CUST-0032,PROD-022,2025-11-23,1,27.82,0,27.82
OL-00255,ORD-10107,CUST-0032,PROD-026,2025-11-23,1,54.35,0.15,46.2
OL-00256,ORD-10107,CUST-0032,PROD-013,2025-11-23,2,134.4,0,268.8
OL-00257,ORD-10108,CUST-0033,PROD-032,2024-10-23,5,129.73,0.15,551.35
OL-00258,ORD-10108,CUST-0033,PROD-030,2024-10-23,2,33.74,0.15,57.36
OL-00259,ORD-10108,CUST-0033,PROD-005,2024-10-23,4,843.32,0,3373.28
OL-00260,ORD-10108,CUST-0033,PROD-006,2024-10-23,4,689.21,0.2,2205.47
OL-00261,ORD-10109,CUST-0034,PROD-011,2024-09-10,5,103.76,0,518.8
OL-00262,ORD-10109,CUST-0034,PROD-002,2024-09-10,2,505.32,0,1010.64
OL-00263,ORD-10110,CUST-0034,PROD-011,2024-11-27,2,103.76,0.05,197.14
OL-00264,ORD-10110,CUST-0034,PROD-005,2024-11-27,3,843.32,0,2529.96
OL-00265,ORD-10110,CUST-0034,PROD-001,2024-11-27,2,1226.38,0.15,2084.85
OL-00266,ORD-10110,CUST-0034,PROD-018,2024-11-27,1,9.52,0.15,8.09
OL-00267,ORD-10111,CUST-0034,PROD-029,2025-06-24,5,32.8,0.15,139.4
OL-00268,ORD-10111,CUST-0034,PROD-004,2025-06-24,1,921.23,0.05,875.17
OL-00269,ORD-10112,CUST-0034,PROD-029,2025-09-13,1,32.8,0.2,26.24
OL-00270,ORD-10112,CUST-0034,PROD-004,2025-09-13,4,921.23,0.2,2947.94
OL-00271,ORD-10112,CUST-0034,PROD-001,2025-09-13,2,1226.38,0,2452.76
OL-00272,ORD-10113,CUST-0034,PROD-013,2025-04-04,1,134.4,0.05,127.68
OL-00273,ORD-10113,CUST-0034,PROD-006,2025-04-04,1,689.21,0,689.21
OL-00274,ORD-10114,CUST-0034,PROD-005,2025-03-16,1,843.32,0.2,674.66
OL-00275,ORD-10114,CUST-0034,PROD-015,2025-03-16,2,295.3,0.15,502.01
OL-00276,ORD-10115,CUST-0034,PROD-027,2024-12-19,5,52.67,0,263.35
OL-00277,ORD-10116,CUST-0034,PROD-021,2025-11-16,5,38.34,0,191.7
OL-00278,ORD-10116,CUST-0034,PROD-036,2025-11-16,5,97.89,0.05,464.98
OL-00279,ORD-10116,CUST-0034,PROD-013,2025-11-16,4,134.4,0,537.6
OL-00280,ORD-10117,CUST-0034,PROD-007,2025-01-21,3,511.33,0,1533.99
OL-00281,ORD-10117,CUST-0034,PROD-023,2025-01-21,1,88.43,0.05,84.01
OL-00282,ORD-10118,CUST-0034,PROD-001,2025-08-25,4,1226.38,0,4905.52
OL-00283,ORD-10118,CUST-0034,PROD-025,2025-08-25,1,25.5,0.15,21.68
OL-00284,ORD-10118,CUST-0034,PROD-014,2025-08-25,3,487.6,0.15,1243.38
OL-00285,ORD-10119,CUST-0034,PROD-003,2025-08-10,4,722.82,0,2891.28
OL-00286,ORD-10119,CUST-0034,PROD-005,2025-08-10,5,843.32,0.05,4005.77
OL-00287,ORD-10119,CUST-0034,PROD-014,2025-08-10,1,487.6,0.15,414.46
OL-00288,ORD-10120,CUST-0034,PROD-017,2025-06-26,5,242.78,0,1213.9
OL-00289,ORD-10120,CUST-0034,PROD-007,2025-06-26,4,511.33,0.15,1738.52
OL-00290,ORD-10121,CUST-0035,PROD-022,2024-04-20,3,27.82,0.2,66.77
OL-00291,ORD-10121,CUST-0035,PROD-012,2024-04-20,4,109.67,0,438.68
OL-00292,ORD-10122,CUST-0035,PROD-029,2024-10-23,4,32.8,0.1,118.08
OL-00293,ORD-10123,CUST-0035,PROD-033,2025-03-28,2,70.03,0,140.06
OL-00294,ORD-10123,CUST-0035,PROD-001,2025-03-28,5,1226.38,0.2,4905.52
OL-00295,ORD-10124,CUST-0035,PROD-020,2025-08-07,2,37.73,0.15,64.14
OL-00296,ORD-10125,CUST-0035,PROD-006,2024-12-10,2,689.21,0,1378.42
OL-00297,ORD-10125,CUST-0035,PROD-004,2024-12-10,4,921.23,0,3684.92
OL-00298,ORD-10126,CUST-0035,PROD-025,2024-08-16,1,25.5,0,25.5
OL-00299,ORD-10126,CUST-0035,PROD-014,2024-08-16,5,487.6,0.05,2316.1
OL-00300,ORD-10127,CUST-0035,PROD-009,2025-05-18,1,89.78,0.1,80.8
